inversion_id,empresa_id,tipo_inversion,entidad_emisora,fecha_inicio,fecha_vencimiento,dias_plazo,monto_inicial,tasa_anual_simulada,valor_actual_simulado,estado_inversion,ganancia_perdida_simulada,nombre_empresa,cuit,Cluster_ID,Target_Real
INV-20075,2010,Plazo Fijo Bancario,BBVA Argentina,2023-11-18,2024-02-16,90.0,3278743.03,0.1071,3365328.79,Liquidada,86585.76,"Escobar, Molina and Guzman",30-97199217-6,0,
INV-20025,2019,Fondo Común de Inversión (FCI),"Suarez, Rojas and Sanchez",2023-11-24,,,3789723.53,0.0709,4218925.39,Activa,429201.86,"Gomez, Bustos and Aguirre",30-49155489-2,2,
INV-20019,2014,Fondo Común de Inversión (FCI),Ruiz-Morales,2023-11-25,,,3422987.03,0.1473,4395284.63,Activa,972297.6,"Gomez, Dominguez and Acosta",30-27802329-6,2,
INV-20082,2016,Acciones (Cotización),"Quiroga, Gonzalez and Carrizo",2023-11-25,,,750117.15,0.0279,793766.57,Activa,43649.42,Rodriguez Inc,30-56062316-9,1,
INV-20020,2018,Fondo Común de Inversión (FCI),Banco Comafi,2023-11-26,,,3699149.31,0.1442,4598445.7,Activa,899296.39,Torres-Gutierrez,30-17152080-2,2,
INV-20005,2017,Fondo Común de Inversión (FCI),Ponce Group,2023-11-28,,,781215.66,0.1436,1037727.2,Activa,256511.54,"Peralta, Campos and Cabrera",30-67380697-6,1,
INV-20092,2014,Cauciones Bursátiles,"Aguirre, Sosa and Godoy",2023-12-02,2024-01-01,30.0,777887.79,0.0764,782772.5,Vencida,4884.71,"Gomez, Dominguez and Acosta",30-27802329-6,1,
INV-20043,2000,Fondo Común de Inversión (FCI),Flores Inc,2023-12-05,,,4148813.01,0.0578,4590176.82,Activa,441363.81,"Acosta, Medina and Alvarez",30-09815711-7,2,
INV-20010,2008,Bonos del Tesoro,"Perez, Fernandez and Acuña",2023-12-19,,,1614421.74,0.0927,1905721.33,Activa,291299.59,Benitez-Ruiz,30-00803582-6,0,
INV-20000,2014,Bonos del Tesoro,BBVA Argentina,2024-01-07,,,2232525.68,0.077,2602839.67,Activa,370313.99,"Gomez, Dominguez and Acosta",30-27802329-6,0,
