fecha_banco,monto_banco,concepto_banco,fecha_contable,monto_contable,concepto_contable,diferencia_monto,diferencia_dias,conciliado,clasificación_auditoría
2025-10-05,3737.58,Transferencia recibida,2025-11-12,3737.58,Ajuste de tipo de cambio,0.0,38,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-30,8400.83,Pago proveedor,4663.25,25,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-29,8982.94,Ajuste de tipo de cambio,5245.360000000001,24,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-18,4057.96,Cobro cliente,320.3800000000001,44,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-01,2160.83,Ajuste de tipo de cambio,1576.75,4,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-16,654.93,Pago proveedor,3082.65,42,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-02,5646.79,Ajuste de tipo de cambio,1909.21,28,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-14,9816.41,Pago proveedor,6078.83,9,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-09-30,7007.18,Ajuste de tipo de cambio,3269.6000000000004,5,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-22,7217.0,Pago proveedor,3479.42,48,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-18,776.8,Cobro cliente,2960.7799999999997,44,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-08,726.03,Cobro cliente,3011.55,34,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-25,7873.26,Ajuste de tipo de cambio,4135.68,51,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-17,8778.25,Pago proveedor,5040.67,43,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-17,1382.14,Pago proveedor,2355.4399999999996,43,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-11,7348.82,Ajuste de tipo de cambio,3611.24,37,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-13,3937.49,Cobro cliente,199.90999999999985,39,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-10,8378.9,Cobro cliente,4641.32,5,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-13,990.24,Pago proveedor,2747.34,8,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-07,3026.19,Ajuste de tipo de cambio,711.3899999999999,33,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-24,3703.19,Ajuste de tipo de cambio,34.38999999999987,19,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-11,3897.44,Pago proveedor,159.86000000000013,6,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-23,8170.06,Pago proveedor,4432.4800000000005,49,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-17,7138.84,Pago proveedor,3401.26,43,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-09-30,3243.19,Ajuste de tipo de cambio,494.3899999999999,5,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-11,7493.3,Cobro cliente,3755.7200000000003,37,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-12,9582.73,Cobro cliente,5845.15,38,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-14,4041.33,Cobro cliente,303.75,9,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-24,4731.63,Ajuste de tipo de cambio,994.0500000000002,50,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-05,5434.49,Cobro cliente,1696.9099999999999,31,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-14,1731.6,Cobro cliente,2005.98,40,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-06,3028.08,Cobro cliente,709.5,32,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-02,6175.74,Cobro cliente,2438.16,28,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-21,5993.76,Ajuste de tipo de cambio,2256.1800000000003,47,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-25,3670.71,Ajuste de tipo de cambio,66.86999999999989,51,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-30,7205.02,Pago proveedor,3467.4400000000005,25,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-07,3314.46,Pago proveedor,423.1199999999999,33,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-22,9438.6,Cobro cliente,5701.02,48,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-04,2214.5,Cobro cliente,1523.08,30,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-07,949.17,Cobro cliente,2788.41,33,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-20,637.44,Pago proveedor,3100.14,15,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-31,7430.16,Ajuste de tipo de cambio,3692.58,26,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-02,2391.8,Cobro cliente,1345.7799999999997,3,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-09,5671.73,Ajuste de tipo de cambio,1934.1499999999996,35,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-10-02,1109.09,Ajuste de tipo de cambio,2628.49,3,False,No Conciliado - Revisión Manual
2025-10-05,3737.58,Transferencia recibida,2025-11-24,1531.66,Pago proveedor,2205.92,50,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-12,3737.58,Ajuste de tipo de cambio,2268.23,15,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-30,8400.83,Pago proveedor,6931.48,2,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-29,8982.94,Ajuste de tipo de cambio,7513.59,1,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-18,4057.96,Cobro cliente,2588.61,21,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-01,2160.83,Ajuste de tipo de cambio,691.48,27,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-16,654.93,Pago proveedor,814.42,19,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-02,5646.79,Ajuste de tipo de cambio,4177.4400000000005,5,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-14,9816.41,Pago proveedor,8347.06,14,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-09-30,7007.18,Ajuste de tipo de cambio,5537.83,28,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-22,7217.0,Pago proveedor,5747.65,25,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-18,776.8,Cobro cliente,692.55,21,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-08,726.03,Cobro cliente,743.3199999999999,11,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-25,7873.26,Ajuste de tipo de cambio,6403.91,28,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-17,8778.25,Pago proveedor,7308.9,20,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-17,1382.14,Pago proveedor,87.20999999999981,20,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-11,7348.82,Ajuste de tipo de cambio,5879.469999999999,14,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-13,3937.49,Cobro cliente,2468.14,16,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-10,8378.9,Cobro cliente,6909.549999999999,18,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-13,990.24,Pago proveedor,479.1099999999999,15,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-07,3026.19,Ajuste de tipo de cambio,1556.8400000000001,10,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-24,3703.19,Ajuste de tipo de cambio,2233.84,4,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-11,3897.44,Pago proveedor,2428.09,17,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-23,8170.06,Pago proveedor,6700.710000000001,26,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-17,7138.84,Pago proveedor,5669.49,20,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-09-30,3243.19,Ajuste de tipo de cambio,1773.8400000000001,28,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-11,7493.3,Cobro cliente,6023.950000000001,14,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-12,9582.73,Cobro cliente,8113.379999999999,15,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-14,4041.33,Cobro cliente,2571.98,14,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-24,4731.63,Ajuste de tipo de cambio,3262.28,27,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-05,5434.49,Cobro cliente,3965.14,8,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-14,1731.6,Cobro cliente,262.25,17,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-06,3028.08,Cobro cliente,1558.73,9,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-02,6175.74,Cobro cliente,4706.389999999999,5,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-21,5993.76,Ajuste de tipo de cambio,4524.41,24,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-25,3670.71,Ajuste de tipo de cambio,2201.36,28,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-30,7205.02,Pago proveedor,5735.67,2,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-07,3314.46,Pago proveedor,1845.1100000000001,10,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-22,9438.6,Cobro cliente,7969.25,25,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-04,2214.5,Cobro cliente,745.1500000000001,7,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-07,949.17,Cobro cliente,520.18,10,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-20,637.44,Pago proveedor,831.9099999999999,8,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-31,7430.16,Ajuste de tipo de cambio,5960.8099999999995,3,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-02,2391.8,Cobro cliente,922.4500000000003,26,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-09,5671.73,Ajuste de tipo de cambio,4202.379999999999,12,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-10-02,1109.09,Ajuste de tipo de cambio,360.26,26,False,No Conciliado - Revisión Manual
2025-10-28,1469.35,Transferencia recibida,2025-11-24,1531.66,Pago proveedor,62.31000000000017,27,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-11-12,3737.58,Ajuste de tipo de cambio,4721.879999999999,33,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-10-30,8400.83,Pago proveedor,58.6299999999992,20,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-10-29,8982.94,Ajuste de tipo de cambio,523.4800000000014,19,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-11-18,4057.96,Cobro cliente,4401.499999999999,39,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-10-01,2160.83,Ajuste de tipo de cambio,6298.629999999999,9,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-11-16,654.93,Pago proveedor,7804.529999999999,37,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-11-02,5646.79,Ajuste de tipo de cambio,2812.669999999999,23,False,No Conciliado - Revisión Manual
2025-10-10,8459.46,Pago proveedor,2025-10-14,9816.41,Pago proveedor,1356.9500000000007,4,False,No Conciliado - Revisión Manual
